Event.Id,Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Publication.Date,Year,Total.On.Board,Fatal.Injury.Likelihood,Serious.Injury.Likelihood,Severe.Injury.Risk,Aircraft.Destroyed,Aircraft.ID
20001211X13939,Accident,BFO92FA020,1992-01-18,"HORSEHEADS, NY",United States,,,ELM,ELMIRA/CORNING REGIONAL,Non-Fatal,substantial,N964VJ,douglas,dc-9-30,No,2.0,turbo fan,unknown,0.0,2.0,0.0,39.0,vmc,landing,Probable Cause,26-05-1993,1992,41.0,0.0,0.04878048780487805,0.04878048780487805,0,douglas_dc-9-30
20001211X14050,Accident,SEA92LA038,1992-01-18,"CHEHALIS, WA",United States,,,NONE,NONE,Non-Fatal,substantial,N39298,taylorcraft,bc-12d,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,landing,Probable Cause,13-08-1993,1992,1.0,0.0,0.0,0.0,0,taylorcraft_bc-12d
20001211X13977,Accident,DEN92FA028,1992-01-18,"NUCLA, CO",United States,,,,,Non-Fatal,substantial,N3342V,beech,35,No,1.0,reciprocating,personal,0.0,0.0,0.0,4.0,vmc,descent,Probable Cause,09-03-1993,1992,4.0,0.0,0.0,0.0,0,beech_35
20001211X13972,Accident,CHI92LA103,1992-01-18,"MONEE, IL",United States,,,C56,MONEE-SANGER,Non-Fatal,substantial,N7529N,cessna,182p,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,landing,Probable Cause,13-08-1993,1992,2.0,0.0,0.0,0.0,0,cessna_182p
20001211X13963,Accident,CHI92LA073,1992-01-18,"INDIANAPOLIS, IN",United States,,,,,Non-Fatal,substantial,N8013G,cessna,177rg,No,1.0,reciprocating,business,0.0,0.0,0.0,1.0,vmc,takeoff,Probable Cause,13-08-1993,1992,1.0,0.0,0.0,0.0,0,cessna_177rg
20001211X14045,Incident,SEA92IA040,1992-01-19,"ANACORTES, WA",United States,,,,,Incident,minor,N2742R,piper,pa-28r-200,No,1.0,reciprocating,personal,0.0,0.0,1.0,3.0,vmc,cruise,Probable Cause,14-09-1993,1992,4.0,0.0,0.0,0.0,0,piper_pa-28r-200
20001211X14011,Accident,LAX92LA095,1992-01-19,"PINYON, CA",United States,,,,,Non-Fatal,substantial,N50810,cessna,150j,No,1.0,reciprocating,instructional,0.0,0.0,0.0,2.0,vmc,climb,Probable Cause,12-03-1993,1992,2.0,0.0,0.0,0.0,0,cessna_150j
20001211X13973,Accident,CHI93LA381,1992-01-19,"UNION CENTER, SD",United States,,,,PRIVATE STRIP,Non-Fatal,substantial,N8529U,cessna,172,No,1.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,takeoff,Probable Cause,07-04-1995,1992,1.0,0.0,0.0,0.0,0,cessna_172
20001211X13966,Accident,CHI92LA076,1992-01-19,"GAYLORD, MI",United States,,,GLR,OTSEGO CO.,Non-Fatal,substantial,N6814R,cessna,414,No,2.0,reciprocating,personal,0.0,0.0,0.0,5.0,imc,takeoff,Probable Cause,13-08-1993,1992,5.0,0.0,0.0,0.0,0,cessna_414
20001211X13965,Accident,CHI92LA075,1992-01-19,"ZENDA, WI",United States,,,,PRIVATE,Non-Fatal,substantial,N68430,cessna,152,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,takeoff,Probable Cause,13-08-1993,1992,2.0,0.0,0.0,0.0,0,cessna_152
20001211X13964,Accident,CHI92LA074,1992-01-19,"WARREN, MI",United States,,,,,Non-Fatal,substantial,N8293T,cessna,175,No,1.0,reciprocating,personal,0.0,0.0,0.0,3.0,vmc,cruise,Probable Cause,06-08-1998,1992,3.0,0.0,0.0,0.0,0,cessna_175
20001211X13975,Accident,DCA92RA019,1992-01-20,"STRASBURG, France",France,,,,,Fatal(87),destroyed,,airbus industrie,a320,No,0.0,unknown,unknown,87.0,5.0,4.0,0.0,imc,,Foreign,20-12-1994,1992,96.0,0.90625,0.052083333333333336,0.9583333333333334,1,airbus industrie_a320
20001211X14013,Accident,LAX92LA097,1992-01-20,"SONOMA, CA",United States,,,,,Non-Fatal,substantial,N3010N,cessna,120,No,1.0,reciprocating,personal,0.0,0.0,0.0,2.0,vmc,takeoff,Probable Cause,13-08-1993,1992,2.0,0.0,0.0,0.0,0,cessna_120
20001211X14012,Accident,LAX92LA096,1992-01-20,"BOULDER, NV",United States,,,61B,BOULDER CITY,Non-Fatal,substantial,N5445N,cessna,182r,No,1.0,reciprocating,instructional,0.0,0.0,1.0,0.0,vmc,takeoff,Probable Cause,13-08-1993,1992,1.0,0.0,0.0,0.0,0,cessna_182r
20001211X13967,Accident,CHI92LA077,1992-01-20,"ROCKFORD, IL",United States,,,,,Non-Fatal,substantial,N152BA,cessna,152,No,1.0,reciprocating,instructional,0.0,0.0,0.0,1.0,vmc,cruise,Probable Cause,30-06-1993,1992,1.0,0.0,0.0,0.0,0,cessna_152
20001211X13990,Accident,FTW92LA058,1992-01-21,"AUSTIN, TX",United States,,,3R3,AUSTIN EXECUTIVE,Non-Fatal,substantial,N201YR,mooney,m20j,No,1.0,reciprocating,business,0.0,1.0,1.0,0.0,imc,landing,Probable Cause,11-06-1993,1992,2.0,0.0,0.5,0.5,0,mooney_m20j
20001211X13938,Accident,ATL92LA041,1992-01-21,"GADSDEN, AL",United States,,,GAD,GADSDEN MUNICIPAL,Non-Fatal,substantial,N35308,cessna,172i,No,1.0,reciprocating,instructional,0.0,0.0,0.0,2.0,vmc,landing,Probable Cause,13-08-1993,1992,2.0,0.0,0.0,0.0,0,cessna_172i
20001211X13991,Accident,FTW92LA059,1992-01-22,"DENTON, TX",United States,,,5TXO,HIDDEN VALLEY AIRPORT,Non-Fatal,substantial,N107EH,piper,pa-28-140,No,1.0,reciprocating,instructional,0.0,0.0,0.0,3.0,vmc,takeoff,Probable Cause,11-06-1993,1992,3.0,0.0,0.0,0.0,0,piper_pa-28-140
20001211X14040,Accident,MIA92WA066,1992-01-23,,Dominica,,,,,Fatal(2),destroyed,N42AK,beech,b-99,No,0.0,unknown,instructional,2.0,0.0,0.0,0.0,vmc,,Foreign,05-08-1996,1992,2.0,1.0,0.0,1.0,1,beech_b-99
20001211X14026,Accident,MIA92FA067,1992-01-23,"CLEWISTON, FL",United States,,,,,Fatal(2),destroyed,N2714A,cessna,402-c,No,2.0,reciprocating,unknown,2.0,0.0,0.0,0.0,vmc,descent,Probable Cause,13-08-1993,1992,2.0,1.0,0.0,1.0,1,cessna_402-c
20001211X14015,Accident,LAX92LA099,1992-01-23,"PACOIMA, CA",United States,,,WHP,WHITEMAN,Non-Fatal,substantial,N8662Y,piper,pa-30,No,2.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,takeoff,Probable Cause,13-08-1993,1992,1.0,0.0,0.0,0.0,0,piper_pa-30
20001211X13950,Accident,BFO92LA024,1992-01-23,"COLUMBUS, OH",United States,,,,,Non-Fatal,substantial,N8434H,piper,pa-34-200t,No,2.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,climb,Probable Cause,31-08-1993,1992,1.0,0.0,0.0,0.0,0,piper_pa-34-200t
20001211X14017,Accident,LAX92LA101,1992-01-24,"TONOPAH, NV",United States,,,,,Non-Fatal,substantial,N7325L,piper,pa-31p,No,2.0,reciprocating,personal,0.0,0.0,0.0,1.0,vmc,approach,Probable Cause,16-12-1993,1992,1.0,0.0,0.0,0.0,0,piper_pa-31p
20001211X14001,Accident,LAX92FA102,1992-01-25,"MOUNTAIN PASS, CA",United States,,,,,Fatal(4),destroyed,N8432K,piper,pa28-161,No,1.0,reciprocating,personal,4.0,0.0,0.0,0.0,vmc,unknown,Probable Cause,30-06-1993,1992,4.0,1.0,0.0,1.0,1,piper_pa28-161
20001211X13992,Accident,FTW92LA060,1992-01-25,"ALBUQUERQUE, NM",United States,,,,,Non-Fatal,substantial,N88ES,beech,a36,No,1.0,reciprocating,personal,0.0,0.0,1.0,3.0,vmc,descent,Probable Cause,13-08-1993,1992,4.0,0.0,0.0,0.0,0,beech_a36
20001211X13970,Accident,CHI92LA081,1992-01-25,"MINNEAPOLIS, MN",United States,,,ANE,ANOKA COUNTY,Non-Fatal,substantial,N4046H,robinson,r-22b,No,1.0,reciprocating,instructional,0.0,0.0,0.0,1.0,vmc,landing,Probable Cause,31-08-1993,1992,1.0,0.0,0.0,0.0,0,robinson_r-22b
20001211X13969,Accident,CHI92LA080,1992-01-25,"OMAHA, NE",United States,,,OMA,EPPLY,Non-Fatal,substantial,N96722,cessna,182,No,1.0,reciprocating,business,0.0,0.0,0.0,1.0,vmc,taxi,Probable Cause,11-06-1993,1992,1.0,0.0,0.0,0.0,0,cessna_182
20001211X13968,Accident,CHI92LA078,1992-01-25,"NEW HAVEN, MI",United States,,,57D,NEW HAVEN,Non-Fatal,substantial,N6225G,cessna,150,No,1.0,reciprocating,instructional,0.0,0.0,0.0,2.0,vmc,takeoff,Probable Cause,11-06-1993,1992,2.0,0.0,0.0,0.0,0,cessna_150
20001211X13959,Incident,CHI92IA079,1992-01-26,"LANSING, MI",United States,,,LAN,CAPITAL CITY,Incident,minor,N101UM,aerospatiale,as-355f1,No,2.0,turbo shaft,unknown,0.0,0.0,0.0,4.0,vmc,cruise,Probable Cause,30-06-1993,1992,4.0,0.0,0.0,0.0,0,aerospatiale_as-355f1
20001211X13941,Accident,BFO92FA025,1992-01-26,"MANASSAS, VA",United States,,,HEF,MANASSAS MUNICIPAL,Fatal(1),destroyed,N3738A,beech,v35b,No,1.0,reciprocating,personal,1.0,0.0,0.0,0.0,vmc,takeoff,Probable Cause,13-08-1993,1992,1.0,1.0,0.0,1.0,1,beech_v35b
20001211X13971,Accident,CHI92LA083,1992-01-26,"LANSING, MI",United States,,,LAN,CAPITAL CITY,Non-Fatal,substantial,N5842G,cessna,150,No,1.0,reciprocating,instructional,0.0,0.0,0.0,1.0,vmc,takeoff,Probable Cause,11-06-1993,1992,1.0,0.0,0.0,0.0,0,cessna_150
20001211X13981,Accident,DEN92LA027,1992-01-27,"ENGLEWOOD, CO",United States,,,APA,CENTENNIA,Non-Fatal,substantial,N52872,cessna,172p,No,1.0,reciprocating,instructional,0.0,0.0,0.0,2.0,vmc,takeoff,Probable Cause,02-09-1994,1992,2.0,0.0,0.0,0.0,0,cessna_172p
20001211X14027,Accident,MIA92FA070,1992-01-28,"MOORE HAVEN, FL",United States,,,,,Fatal(3),destroyed,N2211X,cessna,337,No,2.0,reciprocating,personal,3.0,0.0,0.0,0.0,imc,cruise,Probable Cause,13-08-1993,1992,3.0,1.0,0.0,1.0,1,cessna_337
20001211X13925,Incident,ANC92IA030,1992-01-28,"ANCHORAGE, AK",United States,,,ANC,ANCHORAGE INTERNATIONAL,Incident,minor,N314SC,piper,pa-31-t3,No,2.0,turbo prop,unknown,0.0,0.0,0.0,7.0,imc,taxi,Probable Cause,30-06-1993,1992,7.0,0.0,0.0,0.0,0,piper_pa-31-t3
20001211X14019,Accident,LAX92LA105,1992-01-28,"AUSTIN, NV",United States,,,,,Fatal(1),substantial,N39HP,cessna,170b,No,1.0,reciprocating,business,1.0,0.0,0.0,0.0,imc,maneuvering,Probable Cause,26-08-1993,1992,1.0,1.0,0.0,1.0,0,cessna_170b
